,Nos,Match Titles,Series,Place,Date,Time
0,1,Match 16,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Sunday 24 OCTOBER,19:30 IST
1,2,Match 28,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Sunday 31 OCTOBER,19:30 IST
2,3,Match 33,2021 ICC MEN'S T20 WORLD CUP,"Zayed Cricket Stadium, Abu Dhabi",Wednesday 03 NOVEMBER,19:30 IST
3,4,Match 37,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Friday 05 NOVEMBER,19:30 IST
4,5,Match 42,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Monday 08 NOVEMBER,19:30 IST
5,6,1st T20I,INDIA V NEW ZEALAND 2021,"Sawai Mansingh Stadium, Jaipur",Wednesday 17 NOVEMBER,19:00 IST
6,7,2nd T20I,INDIA V NEW ZEALAND 2021,"JSCA International Stadium Complex, Ranchi",Friday 19 NOVEMBER,19:00 IST
7,8,3rd T20I,INDIA V NEW ZEALAND 2021,"Eden Gardens, Kolkata",Sunday 21 NOVEMBER,19:00 IST
8,9,1st Test,INDIA V NEW ZEALAND 2021,"Green Park, Kanpur",Thursday 25 NOVEMBER,09:30 IST
9,10,2nd Test,INDIA V NEW ZEALAND 2021,"Wankhede Stadium, Mumbai",Friday 03 DECEMBER,09:30 IST
10,11,1st Test,SOUTH AFRICA V INDIA 2021/2022,"New Wanderers Stadium, Johannesburg",Friday 17 DECEMBER,13:30 IST
11,12,2nd Test,SOUTH AFRICA V INDIA 2021/2022,"Supersport Park, Centurion",Sunday 26 DECEMBER,13:30 IST
12,13,3rd Test,SOUTH AFRICA V INDIA 2021/2022,"New Wanderers Stadium, Johannesburg",Monday 03 JANUARY,13:30 IST
13,14,1st ODI,SOUTH AFRICA V INDIA 2021/2022,"Boland Park, Paarl",Tuesday 11 JANUARY,14:00 IST
14,15,2nd ODI,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Friday 14 JANUARY,14:00 IST
15,16,3rd ODI,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Sunday 16 JANUARY,14:00 IST
16,17,1st T20I,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Wednesday 19 JANUARY,19:30 IST
17,18,2nd T20I,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Friday 21 JANUARY,19:30 IST
18,19,3rd T20I,SOUTH AFRICA V INDIA 2021/2022,"Boland Park, Paarl",Sunday 23 JANUARY,19:30 IST
19,20,4th T20I,SOUTH AFRICA V INDIA 2021/2022,"Boland Park, Paarl",Wednesday 26 JANUARY,19:30 IST
20,21,Match 16,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Sunday 24 OCTOBER,19:30 IST
21,22,Match 28,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Sunday 31 OCTOBER,19:30 IST
22,23,Match 33,2021 ICC MEN'S T20 WORLD CUP,"Zayed Cricket Stadium, Abu Dhabi",Wednesday 03 NOVEMBER,19:30 IST
23,24,Match 37,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Friday 05 NOVEMBER,19:30 IST
24,25,Match 42,2021 ICC MEN'S T20 WORLD CUP,"Dubai International Stadium, Dubai",Monday 08 NOVEMBER,19:30 IST
25,26,1st T20I,INDIA V NEW ZEALAND 2021,"Sawai Mansingh Stadium, Jaipur",Wednesday 17 NOVEMBER,19:00 IST
26,27,2nd T20I,INDIA V NEW ZEALAND 2021,"JSCA International Stadium Complex, Ranchi",Friday 19 NOVEMBER,19:00 IST
27,28,3rd T20I,INDIA V NEW ZEALAND 2021,"Eden Gardens, Kolkata",Sunday 21 NOVEMBER,19:00 IST
28,29,1st Test,INDIA V NEW ZEALAND 2021,"Green Park, Kanpur",Thursday 25 NOVEMBER,09:30 IST
29,30,2nd Test,INDIA V NEW ZEALAND 2021,"Wankhede Stadium, Mumbai",Friday 03 DECEMBER,09:30 IST
30,31,1st Test,SOUTH AFRICA V INDIA 2021/2022,"New Wanderers Stadium, Johannesburg",Friday 17 DECEMBER,13:30 IST
31,32,2nd Test,SOUTH AFRICA V INDIA 2021/2022,"Supersport Park, Centurion",Sunday 26 DECEMBER,13:30 IST
32,33,3rd Test,SOUTH AFRICA V INDIA 2021/2022,"New Wanderers Stadium, Johannesburg",Monday 03 JANUARY,13:30 IST
33,34,1st ODI,SOUTH AFRICA V INDIA 2021/2022,"Boland Park, Paarl",Tuesday 11 JANUARY,14:00 IST
34,35,2nd ODI,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Friday 14 JANUARY,14:00 IST
35,36,3rd ODI,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Sunday 16 JANUARY,14:00 IST
36,37,1st T20I,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Wednesday 19 JANUARY,19:30 IST
37,38,2nd T20I,SOUTH AFRICA V INDIA 2021/2022,"Newlands, Cape Town",Friday 21 JANUARY,19:30 IST
38,39,3rd T20I,SOUTH AFRICA V INDIA 2021/2022,"Boland Park, Paarl",Sunday 23 JANUARY,19:30 IST
39,40,4th T20I,SOUTH AFRICA V INDIA 2021/2022,"Boland Park, Paarl",Wednesday 26 JANUARY,19:30 IST
